stadium_id,stadium_name,city
75,Estadio José Amalfitani,Buenos Aires
76,Estadio Ciudad de Mendoza,Mendoza
77,Estadio Chateau Carreras,Córdoba
78,Camp Nou,Barcelona
79,Balaídos,Vigo
80,Estadio Ramón Sánchez Pizjuán,Seville
81,Estadio Riazor,A Coruña
82,Nuevo Estadio,Elche
83,Estadio La Rosaleda,Málaga
84,Estadio El Molinón,Gijón
85,Estadio San Mamés,Bilbao
86,Estadio Luis Casanova,Valencia
87,Estadio Carlos Tartiere,Oviedo
88,Estadio José Zorrilla,Valladolid
89,Estadio La Romareda,Zaragoza
90,Estadio José Rico Pérez,Alicante
91,Estadio Benito Villamarín,Seville
92,Vicente Calderón,Madrid
93,Estadi de Sarrià,Barcelona
94,Estadio Santiago Bernabéu,Madrid
95,Estadio Olímpico Universitario,Mexico City
96,Estadio Sergio León Chavez,Irapuato
97,Estadio Universitario,Monterrey
98,Estadio Tres de Marzo,Guadalajara
99,Estadio Tecnológico,Monterrey
100,Estadio La Corregidora,Querétaro
101,Estadio Neza 86,Nezahualcóyotl
102,Stadio San Nicola,Bari
103,Stadio Olimpico,Rome
104,Stadio Comunale,Florence
105,Stadio delle Alpi,Turin
106,Stadio Sant'Elia,Cagliari
107,Stadio Marc'Antonio Bentegodi,Verona
108,Stadio La Favorita,Palermo
109,Stadio Friuli,Udine
110,Stadio San Paolo,Naples
111,Soldier Field,Chicago
112,Cotton Bowl,Dallas
113,Pontiac Silverdome,Pontiac
114,Giants Stadium,East Rutherford
115,Rose Bowl,Pasadena
116,Citrus Bowl,Orlando
117,RFK Stadium,"Washington, D.C."
118,Stanford Stadium,Stanford
119,Foxboro Stadium,Foxborough
120,Stade de France,Saint-Denis
121,Stade de la Mosson,Montpellier
122,Stade de Toulouse,Toulouse
123,Stade Félix-Bollaert,Lens
124,Stade de la Beaujoire,Nantes
125,Stade de Gerland,Lyon
126,Stade Geoffroy-Guichard,Saint-Étienne
127,Seoul World Cup Stadium,Seoul
128,Niigata Stadium,Niigata
129,Ulsan Munsu Football Stadium,Ulsan
130,Sapporo Dome,Sapporo
131,Kashima Stadium,Ibaraki
132,Busan Asiad Stadium,Busan
133,Saitama Stadium,Saitama
134,Gwangju World Cup Stadium,Gwangju
135,Kobe Wing Stadium,Kobe
136,Suwon World Cup Stadium,Suwon
137,Daegu World Cup Stadium,Daegu
138,Jeonju World Cup Stadium,Jeonju
139,Jeju World Cup Stadium,Seogwipo
140,Miyagi Stadium,Miyagi
141,Incheon Munhak Stadium,Incheon
142,International Stadium Yokohama,Yokohama
143,Ōita Stadium,Ōita
144,Shizuoka Stadium ECOPA,Shizuoka
145,Nagai Stadium,Osaka
146,Daejeon World Cup Stadium,Daejeon
147,Allianz Arena,Munich
148,Arena AufShalke,Gelsenkirchen
149,Zentralstadion,Leipzig
150,Frankenstadion,Nuremberg
151,RheinEnergieStadion,Cologne
152,Fritz-Walter-Stadion,Kaiserslautern
153,Soccer City,Johannesburg
154,Cape Town Stadium,Cape Town
155,Nelson Mandela Bay Stadium,Port Elizabeth
156,Ellis Park Stadium,Johannesburg
157,Royal Bafokeng Stadium,Rustenburg
158,Peter Mokaba Stadium,Polokwane
159,Loftus Versfeld Stadium,Pretoria
160,Moses Mabhida Stadium,Durban
161,Free State Stadium,Bloemfontein
162,Mbombela Stadium,Nelspruit
163,Arena Corinthians,São Paulo
164,Arena das Dunas,Natal
165,Arena Fonte Nova,Salvador
166,Arena Pantanal,Cuiabá
167,Estádio Mineirão,Belo Horizonte
168,Estádio Castelão,Fortaleza
169,Arena da Amazônia,Manaus
170,Arena Pernambuco,Recife
171,Estádio Nacional,Brasília
172,Estádio Beira-Rio,Porto Alegre
173,Arena da Baixada,Curitiba
174,Luzhniki Stadium,Moscow
175,Central Stadium,Yekaterinburg
176,Krestovsky Stadium,Saint Petersburg
177,Fisht Olympic Stadium,Sochi
178,Kazan Arena,Kazan
179,Otkritie Arena,Moscow
180,Mordovia Arena,Saransk
181,Kaliningrad Stadium,Kaliningrad
182,Samara Arena,Samara
183,Rostov Arena,Rostov-on-Don
184,Nizhny Novgorod Stadium,Nizhny Novgorod
185,Volgograd Arena,Volgograd
186,Al Bayt Stadium,Al Khor
187,Khalifa International Stadium,Al Rayyan
188,Al Thumama Stadium,Doha
189,Ahmad bin Ali Stadium,Al Rayyan
190,Lusail Stadium,Lusail
191,Education City Stadium,Al Rayyan
192,Stadium 974,Doha
193,Al Janoub Stadium,Al Wakrah
